Name,NACA 2412
Chord(mm),1000
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
1000.000000,1.300000
950.000000,11.400000
900.000000,20.800000
800.000000,37.500000
700.000000,51.800000
600.000000,63.600000
500.000000,72.400000
400.000000,78.000000
300.000000,78.800000
250.000000,76.700000
200.000000,72.600000
150.000000,66.100000
100.000000,56.300000
75.000000,49.600000
50.000000,41.300000
25.000000,29.900000
12.500000,21.500000
0.000000,0.000000
12.500000,-16.500000
25.000000,-22.700000
50.000000,-30.100000
75.000000,-34.600000
100.000000,-37.500000
150.000000,-41.000000
200.000000,-42.300000
250.000000,-42.200000
300.000000,-41.200000
400.000000,-38.000000
500.000000,-33.400000
600.000000,-27.600000
700.000000,-21.400000
800.000000,-15.000000
900.000000,-8.200000
950.000000,-4.800000
1000.000000,-1.300000
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
12.500000,2.500000
25.000000,3.600000
50.000000,5.600000
75.000000,7.500000
100.000000,9.400000
150.000000,12.550000
200.000000,15.150000
250.000000,17.250000
300.000000,18.800000
400.000000,20.000000
500.000000,19.500000
600.000000,18.000000
700.000000,15.200000
800.000000,11.250000
900.000000,6.300000
950.000000,3.300000
1000.000000,0.000000
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
1000.000000,0.000000
