Name,NACA 2412
Chord(mm),18.53225798
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),20.00999
,
Airfoil surface,
X(mm),Y(mm)
17.421765,-6.318804
16.615137,-5.825856
15.804071,-5.345096
14.168621,-4.420146
12.517951,-3.536989
10.851428,-2.697365
9.165881,-1.909982
7.460041,-1.178322
5.723762,-0.530247
4.839769,-0.249743
3.943093,-0.004067
3.031197,0.199817
2.098375,0.346237
1.620550,0.388102
1.132578,0.402106
0.624947,0.362128
0.354010,0.295123
0.000000,0.000000
0.113035,-0.366591
0.291387,-0.553823
0.679799,-0.841219
1.086600,-1.078116
1.503548,-1.287151
2.352029,-1.665171
3.214461,-2.004880
4.085771,-2.320211
4.962789,-2.619870
6.724433,-3.198291
8.494956,-3.752332
10.273089,-4.285478
12.053758,-4.811659
13.835695,-5.334356
15.620169,-5.850089
16.512406,-6.107955
17.405277,-6.364079
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.233523,-0.035734
0.458167,-0.095847
0.906188,-0.219556
1.353575,-0.345007
1.800962,-0.470457
2.691613,-0.732677
3.578777,-1.004474
4.462770,-1.284977
5.343275,-1.575058
7.092237,-2.188306
8.830418,-2.831157
10.562258,-3.491422
12.285854,-4.174324
14.002158,-4.877251
15.712120,-5.597592
16.563771,-5.966905
17.413521,-6.341442
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
17.413521,-6.341442
