Name,NACA 2412
Chord(mm),21.04849042
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),68.60477
,
Airfoil surface,
X(mm),Y(mm)
7.703951,-19.587977
7.517967,-18.530526
7.318264,-17.478451
6.877703,-15.390424
6.390106,-13.320826
5.853515,-11.270424
5.258129,-9.243058
4.600030,-7.240263
3.847861,-5.274324
3.422782,-4.310551
2.958507,-3.362135
2.447196,-2.432147
1.871212,-1.527498
1.547944,-1.088995
1.193319,-0.662777
0.777941,-0.260363
0.517337,-0.079887
0.000000,0.000000
-0.227385,-0.371669
-0.252912,-0.664250
-0.205975,-1.211020
-0.102204,-1.735522
0.032924,-2.247739
0.348255,-3.254511
0.706701,-4.244391
1.092585,-5.223521
1.496106,-6.195741
2.326667,-8.130966
3.184665,-10.055440
4.066181,-11.970701
4.955535,-13.882890
5.848810,-15.793544
6.749923,-17.701126
7.200480,-18.654917
7.652997,-19.607941
,
Camber line,
X(mm),Y(mm)
0.000000,0.000000
0.144976,-0.225778
0.262515,-0.462306
0.493672,-0.936898
0.722870,-1.412258
0.952068,-1.887618
1.397725,-2.843329
1.832604,-3.803263
2.257683,-4.767036
2.671984,-5.735032
3.463349,-7.685614
4.221397,-9.649249
4.959848,-11.620563
5.672821,-13.601858
6.363256,-15.591984
7.034094,-17.589788
7.359224,-18.592722
7.678474,-19.597959
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
7.678474,-19.597959
